"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"滋賀県",1407000,182000,844000,380000,9249,1.38,14955,5230,25545,26222,216,22129,19429,169,3620,16.3,1442,305586,47200,96500,0.129353233830846,0.599857853589197,0.270078180525942,6.57356076759062,3.71712864250178,10.6289978678038,18.1556503198294,18.636815920398,-677,-0.481165600568586,8.69833753667199,186.319419424571
2022,"滋賀県",1409000,186000,845000,378000,9766,1.43,15043,5642,25974,25462,337,37079,34119,118,3216,15.7,1426,319456,46800,94000,0.132008516678495,0.59971611071682,0.268275372604684,6.93115684882896,4.00425833924769,10.6763662171753,18.4343506032647,18.0709723207949,512,0.363378282469837,3.45848354289399,94.2583311351446
2021,"滋賀県",1411000,189000,845000,376000,10130,1.46,13674,5733,25534,25195,335,36535,34837,184,3434,15.7,1803.5,296980,46600,93100,0.133947554925585,0.598866052445074,0.266477675407512,7.17930545712261,4.06307583274274,9.69099929128278,18.0963855421687,17.8561304039688,339,0.240255138199858,5.28174067801475,98.5733559146884
2020,"滋賀県",1413610,191369,824781,365311,10437,1.5,13039,5878,24935,25427,330,35753,34237,495,3704,15.8,1862.5,304172,46500,93600,0.135376093830689,0.583457247755746,0.258424176399431,7.38322451029633,4.15814828700985,9.22390192485905,17.63923571565,17.9872807917318,-492,-0.348045076081805,14.4580424686742,108.187049098928
2019,"滋賀県",1416000,195000,852000,368000,10627,1.47,13221,6439,25679,26090,315,35148,34089,459,3799,15.8,1398.5,303491,46800,89900,0.13771186440678,0.601694915254237,0.259887005649718,7.50494350282486,4.54731638418079,9.33686440677966,18.1348870056497,18.4251412429379,-411,-0.290254237288136,13.4647540262255,111.443574173487
2018,"滋賀県",1414000,197000,852000,363000,11350,1.55,13246,6455,25535,26077,305,33719,32531,439,3943,15.7,1863,276534,46400,89200,0.139321074964639,0.602545968882603,0.256718528995757,8.02687411598303,4.56506364922206,9.36775106082037,18.0586987270156,18.4420084865629,-542,-0.383309759547383,13.4948203252282,121.207463650057
