"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"秋田県",914000,83000,474000,357000,3611,1.1,17517,2302,10002,13177,178,16407,12829,3,2415,13.7,2208.5,272086,13200,24700,0.0908096280087527,0.518599562363239,0.390590809628009,3.9507658643326,2.51859956236324,19.1652078774617,10.9431072210066,14.4168490153173,-3175,-3.47374179431072,0.233845194481253,188.245381557409
2022,"秋田県",930000,86000,484000,359000,3992,1.18,17256,2447,10348,13306,268,25603,21624,7,2384,12.6,1862,275545,13200,24400,0.0924731182795699,0.520430107526882,0.386021505376344,4.29247311827957,2.63118279569892,18.5548387096774,11.1268817204301,14.3075268817204,-2958,-3.18064516129032,0.323714391416944,110.247872733999
2021,"秋田県",945000,90000,495000,360000,4335,1.22,16019,2618,10541,13439,272,25787,21915,10,2610,12.9,1916.5,247776,13200,24300,0.0952380952380952,0.523809523809524,0.380952380952381,4.58730158730159,2.77037037037037,16.9513227513228,11.1544973544974,14.221164021164,-2898,-3.06666666666667,0.456308464522017,119.096509240246
2020,"秋田県",959502,92673,500687,357568,4499,1.24,15379,2686,10519,13519,272,25515,22621,22,2623,12.8,2022.5,264922,13200,24500,0.0965844781980652,0.521819652277953,0.372659984033384,4.68889069538156,2.79936883925203,16.0281062467822,10.9629787118735,14.0896006470023,-3000,-3.12662193512885,0.972547632730648,115.95420184784
2019,"秋田県",972000,95000,512000,359000,4696,1.33,15784,3161,10570,14764,277,27066,24532,65,2973,12.9,1566.5,261579,13300,24800,0.0977366255144033,0.526748971193416,0.369341563786008,4.83127572016461,3.25205761316872,16.238683127572,10.8744855967078,15.1893004115226,-4194,-4.31481481481481,2.64960052176749,121.18865155715
2018,"秋田県",985000,98000,526000,357000,5040,1.33,15434,3052,10569,15111,275,25669,23472,37,2907,12.3,2016.5,280058,13400,25100,0.099492385786802,0.534010152284264,0.36243654822335,5.11675126903553,3.09847715736041,15.6690355329949,10.7299492385787,15.341116751269,-4542,-4.61116751269036,1.57634628493524,123.849693251534
