"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"佐賀県",795000,103000,440000,252000,5144,1.46,11199,2730,14481,15957,183,18530,14946,24,2422,18.1,2113,274861,21700,42600,0.129559748427673,0.553459119496855,0.316981132075472,6.47044025157233,3.43396226415094,14.0867924528302,18.2150943396226,20.0716981132075,-1476,-1.85660377358491,1.60578081091931,162.050046835274
2022,"佐賀県",801000,105000,444000,251000,5552,1.53,11204,2951,15003,16131,263,26014,23767,8,2481,17.7,1664.5,273822,21100,41200,0.131086142322097,0.554307116104869,0.313358302122347,6.93133583021223,3.68414481897628,13.9875156054931,18.7303370786517,20.1385767790262,-1128,-1.40823970037453,0.336601169689065,104.388437749821
2021,"佐賀県",806000,108000,448000,251000,5853,1.56,10145,2992,15032,16211,260,26703,23574,24,2377,17.9,2480.5,274612,20800,40800,0.133995037220844,0.555831265508685,0.311414392059553,7.26178660049628,3.712158808933,12.5868486352357,18.6501240694789,20.1129032258065,-1179,-1.46277915632754,1.01807075591754,100.831424450666
2020,"佐賀県",811442,108241,443579,246061,6004,1.59,9963,3031,14610,16404,257,24771,22925,49,2480,17.5,2876,288604,20500,40600,0.133393391024867,0.54665521380456,0.303239171746101,7.39917332354007,3.73532550693703,12.2781418758211,18.0049837203398,20.2158626248087,-1794,-2.21087890446883,2.13740458015267,108.178844056707
2019,"佐賀県",817000,110000,458000,246000,6231,1.64,9967,3394,15192,17234,256,23996,22209,24,2431,17.7,2078.5,295205,20300,40400,0.134638922888617,0.560587515299878,0.30110159118727,7.62668298653611,4.15422276621787,12.1995104039168,18.5948592411261,21.094247246022,-2042,-2.49938800489596,1.08064298257463,109.460128776622
2018,"佐賀県",821000,112000,464000,244000,6535,1.64,10112,3449,15616,17195,249,23952,22821,33,2582,17.4,1877,293957,20200,40200,0.136419001218027,0.56516443361754,0.297198538367844,7.95980511571255,4.20097442143727,12.3166869671133,19.020706455542,20.9439707673569,-1579,-1.92326431181486,1.44603654528724,113.141404846413
