"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"香川県",926000,107000,517000,301000,5365,1.4,13653,3296,14730,16782,140,15315,13207,12,2239,17.6,1073,286800,32600,73600,0.115550755939525,0.558315334773218,0.325053995680346,5.79373650107991,3.55939524838013,14.744060475162,15.9071274298056,18.1231101511879,-2052,-2.21598272138229,0.908609070947225,169.531309154236
2022,"香川県",934000,110000,522000,302000,5802,1.45,13552,3435,15118,17291,223,25181,21738,19,2317,17.3,667.5,280367,32600,73500,0.117773019271949,0.558886509635974,0.323340471092077,6.21199143468951,3.67773019271949,14.5096359743041,16.186295503212,18.5128479657388,-2173,-2.32655246252677,0.874045450363419,106.587542552213
2021,"香川県",942000,113000,526000,303000,6223,1.51,12329,3668,15429,17192,223,25144,21999,29,2157,17.3,1135.5,274537,32700,73900,0.119957537154989,0.558386411889597,0.321656050955414,6.60615711252654,3.89384288747346,13.088110403397,16.3789808917197,18.2505307855626,-1763,-1.87154989384289,1.31824173826083,98.0499113596073
2020,"香川県",950244,113757,518056,296533,6179,1.47,12183,3786,15420,17247,220,25625,23919,64,2555,17.4,1108.5,275267,32900,74400,0.119713463068433,0.545182079550094,0.312059849891186,6.50254040014986,3.98423983734704,12.8209175748545,16.2274110649475,18.150075138596,-1827,-1.92266407364845,2.67569714452945,106.818846941762
2019,"香川県",958000,117000,535000,305000,6631,1.59,12148,4237,16206,18219,215,23972,22084,182,2710,17.3,927.5,308268,33000,74600,0.122129436325678,0.558455114822547,0.318371607515658,6.92171189979123,4.42275574112735,12.6805845511482,16.9164926931106,19.017745302714,-2013,-2.10125260960334,8.24126064118819,122.71327658033
2018,"香川県",963000,119000,540000,303000,6899,1.61,12169,4236,16662,18290,213,23225,22344,108,2752,17,1575,318612,32800,74000,0.123572170301142,0.560747663551402,0.314641744548287,7.16407061266874,4.398753894081,12.6365524402908,17.3021806853583,18.9927310488058,-1628,-1.69055036344756,4.83351235230935,123.165055495883
