"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"埼玉県",7331000,831000,4489000,2012000,42108,1.14,83597,27531,160736,142886,1408,125366,112424,347,18871,17.2,1028.5,344092,119400,325600,0.113354249079252,0.612331196289729,0.274450961669622,5.74382758150321,3.75542217978448,11.403219206111,21.9255217569227,19.4906561178557,17850,2.43486563906698,3.08652956664057,167.855618017505
2022,"埼玉県",7337000,847000,4483000,2007000,43451,1.17,82221,28823,164381,145111,1514,131262,125112,296,20735,16,1251,324793,116200,312700,0.11544227886057,0.611012675480442,0.273545045658989,5.92217527599836,3.92844486847485,11.2063513697697,22.4043887147335,19.7779746490391,19270,2.62641406569443,2.36588017136646,165.731504571904
2021,"埼玉県",7340000,860000,4480000,2000000,45424,1.22,75164,28345,165913,143434,1474,128615,123008,388,18023,16,1177,315001,114100,305900,0.11716621253406,0.610354223433243,0.272479564032698,6.18855585831063,3.86171662125341,10.2403269754768,22.6039509536785,19.541416893733,22479,3.0625340599455,3.15426638917794,146.518925598335
2020,"埼玉県",7344765,858384,4335188,1934994,47328,1.27,70758,29260,163059,145147,1412,121700,112929,1083,17196,16.2,1364,326313,113700,305200,0.116870178964201,0.590241893375758,0.263452132232958,6.44377321806756,3.9837898149226,9.63380040069355,22.2007103018272,19.7619665162875,17912,2.43874378553977,9.5900964322716,152.2726668969
2019,"埼玉県",7342000,881000,4508000,1961000,48298,1.27,69537,33671,165369,147406,1363,115447,112411,1208,17793,16.1,1460.5,337281,113500,301600,0.119994551893217,0.614001634432035,0.267093435031327,6.57831653500409,4.58608008716971,9.47112503405067,22.5236992645056,20.0770907109779,17963,2.44660855352765,10.7462792787183,158.285221197214
2018,"埼玉県",7325000,891000,4505000,1934000,51241,1.34,67726,32745,163433,146397,1305,111904,102856,1552,17519,16.4,1056,323931,111400,288800,0.121638225255973,0.615017064846416,0.264027303754266,6.99535836177474,4.4703071672355,9.24587030716724,22.3116723549488,19.9859385665529,17036,2.3257337883959,15.0890565450727,170.325503616707
