"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"石川県",1109000,128000,643000,338000,6757,1.34,14746,3792,16107,18348,176,18769,14399,0,2296,16.6,2333,306536,47900,117000,0.115419296663661,0.579801623083859,0.30477908025248,6.09287646528404,3.41929666366096,13.2966636609558,14.5238954012624,16.5446348061317,-2241,-2.02073940486925,0,159.455517744288
2022,"石川県",1118000,132000,648000,338000,7075,1.38,14316,4214,16411,18574,346,38154,33485,0,2526,15.7,2223.5,305812,46700,114300,0.118067978533095,0.579606440071556,0.302325581395349,6.32826475849732,3.76923076923077,12.8050089445438,14.6788908765653,16.613595706619,-2163,-1.93470483005367,0,75.4367627295804
2021,"石川県",1125000,135000,652000,338000,7258,1.38,13214,4214,17248,18395,350,38580,33280,0,2351,15.7,2690,307083,45500,113900,0.12,0.579555555555556,0.300444444444444,6.45155555555556,3.74577777777778,11.7457777777778,15.3315555555556,16.3511111111111,-1147,-1.01955555555556,0,70.6430288461539
2020,"石川県",1132526,137096,641383,333660,7712,1.47,12721,4336,17077,18576,350,38830,34108,0,2684,15.9,2535.5,299375,44300,115600,0.121053291491763,0.566329603028981,0.29461575275093,6.80955669008923,3.82860967430328,11.2324132072906,15.078682520313,16.4022724423104,-1499,-1.32358992199738,0,78.6912161369767
2019,"石川県",1139000,140000,661000,337000,7808,1.46,12900,4985,17083,19639,355,38907,35158,0,2918,15.8,2009.5,355065,44100,118200,0.122914837576822,0.580333625987709,0.295873573309921,6.85513608428446,4.3766461808604,11.3257243195786,14.9982440737489,17.2423178226514,-2556,-2.24407374890255,0,82.996757494738
2018,"石川県",1145000,143000,667000,334000,8359,1.54,12723,4965,17392,18989,353,38073,35095,0,3280,15.5,2765.5,339175,43000,109900,0.124890829694323,0.582532751091703,0.291703056768559,7.30043668122271,4.33624454148472,11.1117903930131,15.189519650655,16.5842794759825,-1597,-1.39475982532751,0,93.4606069240633
