"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"静岡県",3555000,404000,2050000,1101000,18969,1.25,47926,12387,48516,55276,394,41880,35278,5,5966,18.2,2382.5,300652,64100,140800,0.113642756680731,0.576652601969058,0.309704641350211,5.33586497890295,3.48438818565401,13.48129395218,13.6472573839662,15.5488045007032,-6760,-1.90154711673699,0.141731390668405,169.113895345541
2022,"静岡県",3582000,417000,2064000,1101000,20575,1.33,47334,13127,48811,54849,693,73658,65191,23,6198,17.4,2967,300439,64000,139900,0.11641541038526,0.576214405360134,0.307370184254606,5.74399776661083,3.66471245114461,13.214405360134,13.6267448352875,15.3123953098827,-6038,-1.6856504745952,0.35280943688546,95.0744734702643
2021,"静岡県",3608000,429000,2079000,1099000,21571,1.36,43194,13341,48863,53512,683,71546,65880,61,6032,17.7,2511,291793,64200,139700,0.11890243902439,0.576219512195122,0.30460088691796,5.97865853658537,3.69761640798226,11.9717294900222,13.5429600886918,14.8314855875831,-4649,-1.28852549889135,0.925925925925926,91.5604128718883
2020,"静岡県",3633202,438723,2071258,1084282,22497,1.39,42191,13846,48690,54270,667,68800,62833,122,6245,17.8,2613.5,281343,64500,140900,0.120753814403933,0.570091616155667,0.298437026072319,6.19205868542404,3.81096344216479,11.6126215938448,13.4014018488375,14.9372371808669,-5580,-1.53583533202943,1.94165486289052,99.3904476946827
2019,"静岡県",3653000,447000,2107000,1089000,23457,1.44,42190,15848,49294,56692,655,68562,64221,212,6340,17.8,2390.5,280604,65300,142800,0.122365179304681,0.576786203120723,0.298111141527512,6.42129756364632,4.33835203941966,11.5494114426499,13.4941144264988,15.5192992061319,-7398,-2.02518477963318,3.30110088600302,98.7216019682036
2018,"静岡県",3667000,456000,2122000,1081000,25192,1.5,41972,15768,49616,56270,645,64825,59272,325,6333,17.7,2442,306940,65500,141300,0.124352331606218,0.57867466593946,0.294791382601582,6.86992091628034,4.29997272975184,11.4458685574039,13.5304063266976,15.3449686392146,-6654,-1.81456231251704,5.48319611283574,106.84640302335
