"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"北海道",5092000,514000,2897000,1681000,24430,1.06,75120,17281,47388,52915,790,65417,48159,62,9194,11,966,296888,23600,107800,0.100942655145326,0.568931657501964,0.33012568735271,4.79772191673213,3.39375490966221,14.7525530243519,9.30636292223095,10.3917910447761,-5527,-1.08542812254517,1.28740214705455,190.909279677734
2022,"北海道",5140000,530000,2924000,1686000,26407,1.12,74437,18665,49084,53107,1099,88268,79262,22,9863,10.2,1154,277737,22000,97300,0.103112840466926,0.568871595330739,0.328015564202335,5.1375486381323,3.63132295719844,14.481906614786,9.54941634241245,10.3321011673152,-4023,-0.782684824902724,0.277560495571648,124.435416719235
2021,"北海道",5183000,544000,2953000,1686000,28762,1.2,69023,19326,48832,50979,1075,85202,76885,68,9713,10.2,1089,268396,20800,90800,0.104958518232684,0.56974725062705,0.325294231140266,5.54929577464789,3.72872853559714,13.3171908161297,9.42157051900444,9.8358093768088,-2147,-0.41423885780436,0.884437796709371,126.331534109384
2020,"北海道",5224614,555804,2945727,1664023,29523,1.21,65078,20904,48494,50418,1045,84821,79404,134,9949,10,905,301683,20000,88500,0.106381830313206,0.563817154721861,0.318496830579254,5.65075238094144,4.00106113102327,12.456039814616,9.28183402639889,9.6500908966672,-1924,-0.368256870268311,1.68757241448794,125.295954863735
2019,"北海道",5259000,565000,3012000,1673000,31020,1.24,65498,23417,47737,55467,1020,82008,76397,152,9837,9.8,814,294682,19200,83700,0.107434873550105,0.572732458642327,0.318121315839513,5.89845978322875,4.45274767065982,12.4544590226279,9.07720098878114,10.5470621791215,-7730,-1.46986119034037,1.98960692173776,128.76160058641
2018,"北海道",5293000,577000,3052000,1656000,32642,1.27,64187,22916,47269,55222,1003,80564,76931,129,10221,9.5,1282,281054,19000,78200,0.109011902512753,0.57661061779709,0.312866049499339,6.1670130360854,4.32949178159834,12.1267712072549,8.93047421122237,10.4330247496694,-7953,-1.50255053844701,1.67682728678946,132.859315490504
