"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"岡山県",1847000,220000,1054000,573000,11575,1.32,25281,6781,25298,29568,328,37576,33472,56,5301,16.8,1032,300973,29800,102500,0.119112073632918,0.570655116404981,0.310232809962101,6.26691932864104,3.67135896047645,13.6876015159718,13.6968056307526,16.0086626962642,-4270,-2.31185706551164,1.67304015296367,158.371175908222
2022,"岡山県",1862000,225000,1063000,574000,12371,1.39,24901,7399,26002,29507,456,49549,44721,79,5166,16.4,839.5,303131,29400,99600,0.120837808807734,0.570891514500537,0.308270676691729,6.64393125671321,3.97368421052632,13.3732545649839,13.9645542427497,15.8469387755102,-3505,-1.88238453276047,1.76650790456385,115.516200442745
2021,"岡山県",1876000,230000,1071000,575000,13107,1.45,22857,7399,26216,29098,457,49609,47237,104,5209,16.4,1191.5,276603,29200,96700,0.122601279317697,0.57089552238806,0.306503198294243,6.98667377398721,3.94402985074627,12.1839019189765,13.9744136460554,15.5106609808102,-2882,-1.5362473347548,2.20166394986981,110.273726104537
2020,"岡山県",1888432,229352,1032394,557991,13521,1.48,21788,7852,27074,29057,447,50128,47538,403,5568,16.5,1154,262385,29300,96100,0.121451023918256,0.546693764985978,0.295478471027816,7.15990832606099,4.15794691045269,11.5376142746999,14.3367619273556,15.3868394519898,-1983,-1.05007752463419,8.47742858344903,117.127350750978
2019,"岡山県",1897000,237000,1080000,573000,13695,1.47,21944,8734,27045,30311,440,47449,45281,580,5398,16.5,921.5,306454,29300,94800,0.124934106483922,0.569319978914075,0.302055877701634,7.21929362150764,4.60411175540327,11.5677385345282,14.25672113864,15.9783869267264,-3266,-1.72166578808645,12.8089043969877,119.211148163689
2018,"岡山県",1904000,240000,1087000,571000,14485,1.53,22429,8436,27028,30351,434,49231,46705,698,5704,16.3,1410,290915,29100,92200,0.126050420168067,0.570903361344538,0.299894957983193,7.60766806722689,4.43067226890756,11.7799369747899,14.1953781512605,15.9406512605042,-3323,-1.7452731092437,14.9448667166256,122.12825179317
