"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"岩手県",1163000,120000,636000,407000,5432,1.16,19612,3376,14903,19690,265,19965,15199,27,3156,12.5,1453,298536,26100,44700,0.103181427343078,0.546861564918315,0.349957007738607,4.67067927773001,2.90283748925193,16.8632846087704,12.8142734307825,16.9303525365434,-4787,-4.11607910576096,1.77643266004342,207.645239818409
2022,"岩手県",1181000,125000,648000,408000,5788,1.21,19342,3508,15555,19933,391,31489,27461,35,3347,11.2,1402.5,285815,25600,44300,0.10584250635055,0.548687552921253,0.345469940728196,4.90093141405588,2.97036409822185,16.3776460626588,13.1710414902625,16.8780694326842,-4378,-3.70702794242168,1.2745347947999,121.881941662722
2021,"岩手県",1196000,129000,659000,409000,6472,1.3,17631,3673,16149,19022,393,31657,28580,12,3411,11.4,1268.5,272911,25400,44600,0.107859531772575,0.551003344481605,0.341973244147157,5.41137123745819,3.07107023411371,14.7416387959866,13.502508361204,15.9046822742475,-2873,-2.40217391304348,0.419874037788663,119.349195241428
2020,"岩手県",1210534,132447,658816,404359,6718,1.32,17204,3918,15663,19530,390,31709,28895,58,3664,11.4,1462,270902,24900,44800,0.109412044601804,0.544235849633302,0.334033575265131,5.54961694590982,3.23658815035348,14.2119097852683,12.9389178659996,16.1333758490055,-3867,-3.19445798300585,2.00726769337256,126.803945319259
2019,"岩手県",1226000,137000,684000,406000,6974,1.35,17826,4489,16555,21223,382,31491,30017,175,3734,11.3,1029.5,295396,24800,45100,0.111745513866232,0.557911908646003,0.33115823817292,5.6884176182708,3.66150081566068,14.5399673735726,13.5032626427406,17.310766721044,-4668,-3.80750407830343,5.83002964986508,124.39617550055
2018,"岩手県",1240000,140000,697000,403000,7615,1.41,17390,4439,16285,21285,379,30264,28639,145,3731,11,1322,286710,24800,44900,0.112903225806452,0.562096774193548,0.325,6.14112903225806,3.57983870967742,14.0241935483871,13.133064516129,17.1653225806452,-5000,-4.03225806451613,5.06302594364328,130.276895142987
