"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"鳥取県",537000,65000,294000,179000,3263,1.44,8290,1810,7578,9466,138,13797,11211,0,1820,16.6,2058.5,272599,19000,44500,0.121042830540037,0.547486033519553,0.333333333333333,6.07635009310987,3.37057728119181,15.4376163873371,14.1117318435754,17.6275605214153,-1888,-3.51582867783985,0,162.340558380162
2022,"鳥取県",544000,66000,298000,180000,3752,1.6,8031,1981,7967,9279,187,19609,16514,0,1896,15.7,1534.5,272862,19000,45000,0.121323529411765,0.547794117647059,0.330882352941176,6.89705882352941,3.64154411764706,14.7628676470588,14.6452205882353,17.0569852941176,-1312,-2.41176470588235,0,114.811674942473
2021,"鳥取県",549000,67000,302000,180000,3708,1.51,7605,1977,8435,9305,185,19126,16536,0,1915,15.9,2188,273927,19100,45700,0.122040072859745,0.550091074681239,0.327868852459016,6.75409836065574,3.60109289617486,13.8524590163934,15.3642987249545,16.9489981785064,-870,-1.58469945355191,0,115.807934204161
2020,"鳥取県",553407,68330,300002,177046,3783,1.52,7096,2098,8144,9152,186,19293,16994,0,1933,15.9,2096,296669,19200,46500,0.123471513732208,0.542100117996339,0.319920058835541,6.83583691568773,3.79106155144405,12.8223893084114,14.7161130957866,16.5375573492927,-1008,-1.82144425350601,0,113.746028009886
2019,"鳥取県",557000,70000,308000,178000,3988,1.63,7605,2389,8048,9783,186,19537,17583,0,2141,16,1536.5,280966,19400,47400,0.125673249551167,0.552962298025135,0.319569120287253,7.15978456014363,4.28904847396768,13.6535008976661,14.4488330341113,17.5637342908438,-1735,-3.1149012567325,0,121.765341523062
2018,"鳥取県",562000,71000,313000,177000,4190,1.61,7309,2329,8113,10096,188,19825,17528,0,2351,15.7,2183.5,266955,19500,47700,0.126334519572954,0.55693950177936,0.314946619217082,7.45551601423487,4.144128113879,13.0053380782918,14.4359430604982,17.9644128113879,-1983,-3.52846975088968,0,134.128251939754
