"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"大分県",1096000,127000,594000,375000,6259,1.39,16756,3689,16852,19338,219,17768,15527,0,2695,17.6,1566,304631,26300,54700,0.115875912408759,0.541970802919708,0.342153284671533,5.71076642335766,3.36587591240876,15.2883211678832,15.3759124087591,17.6441605839416,-2486,-2.26824817518248,0,173.568622399691
2022,"大分県",1107000,131000,600000,376000,6798,1.49,16266,4037,17364,19164,336,27995,25785,0,2656,17.4,1452.5,298060,25800,54200,0.118337850045167,0.5420054200542,0.339656729900632,6.14092140921409,3.64679313459801,14.6937669376694,15.6856368563686,17.3116531165312,-1800,-1.6260162601626,0,103.005623424472
2021,"大分県",1114000,134000,605000,376000,7327,1.54,15104,4118,17432,18873,335,27460,26578,0,2469,17.4,1480.5,271229,25300,54200,0.120287253141831,0.543087971274686,0.337522441651706,6.57719928186715,3.69658886894075,13.5583482944345,15.6481149012567,16.9416517055655,-1441,-1.2935368043088,0,92.8963804650463
2020,"大分県",1123852,135272,596527,369192,7582,1.55,14444,4406,17259,19570,334,27659,24986,10,2697,17.4,1860,271369,25100,54400,0.120364603168389,0.53078786174692,0.328505888675733,6.74643992269445,3.92044504080608,12.8522260938273,15.3570043030577,17.413324886195,-2311,-2.05632058313728,0.400224125510286,107.940446650124
2019,"大分県",1134000,139000,623000,373000,7624,1.53,14614,4954,17300,20394,332,26634,25067,25,2605,17.4,1753,249209,24900,55400,0.122574955908289,0.549382716049383,0.328924162257496,6.72310405643739,4.36860670194004,12.8871252204586,15.2557319223986,17.984126984127,-3094,-2.7283950617284,0.997327163202617,103.921490405713
2018,"大分県",1143000,141000,632000,371000,8200,1.59,14492,4804,17143,20627,325,26112,25333,13,2944,17.1,1663,299677,24600,54500,0.123359580052493,0.552930883639545,0.324584426946632,7.17410323709536,4.20297462817148,12.678915135608,14.9982502187227,18.0463692038495,-3484,-3.04811898512686,0.513164646903249,116.212055421782
