"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"島根県",650000,77000,346000,227000,3759,1.46,10461,2095,9318,11258,272,20523,19414,0,3497,16.5,1970.5,294837,20400,37500,0.118461538461538,0.532307692307692,0.349230769230769,5.78307692307692,3.22307692307692,16.0938461538462,14.3353846153846,17.32,-1940,-2.98461538461538,0,180.127742865973
2022,"島根県",658000,79000,350000,229000,4161,1.57,10434,2167,9637,11073,297,22458,20644,0,3457,15.8,1300,278522,20500,37600,0.120060790273556,0.531914893617021,0.348024316109422,6.32370820668693,3.29331306990881,15.8571428571429,14.645896656535,16.8282674772036,-1436,-2.18237082066869,0,167.457857004457
2021,"島根県",665000,81000,355000,229000,4415,1.62,9851,2337,9548,10818,298,22930,20896,1,3449,15.9,2223.5,273925,20600,37900,0.121804511278195,0.533834586466165,0.344360902255639,6.6390977443609,3.51428571428571,14.8135338345865,14.3578947368421,16.2676691729323,-1270,-1.90977443609023,0.0478560490045942,165.055513016845
2020,"島根県",671126,81641,352656,227881,4473,1.6,9585,2398,9693,11225,297,22589,22067,0,3504,15.8,2015,294519,20800,38200,0.121647797879981,0.525469136942988,0.339550248388529,6.66491836108272,3.5730995371957,14.2819679166058,14.4428914987648,16.7256223123527,-1532,-2.28273081358791,0,158.789142157973
2019,"島根県",677000,83000,360000,231000,4594,1.68,9710,2625,9841,11465,295,23043,23122,0,3674,15.9,1490.5,276112,21000,38600,0.122599704579025,0.531757754800591,0.341211225997046,6.78581979320532,3.87740029542097,14.3426883308715,14.5361890694239,16.9350073855244,-1624,-2.39881831610044,0,158.896289248335
2018,"島根県",682000,84000,366000,231000,4887,1.74,9724,2672,9836,11293,290,22733,22102,30,3558,15.6,1976.5,313323,21200,39000,0.12316715542522,0.536656891495601,0.338709677419355,7.16568914956012,3.91788856304985,14.258064516129,14.4222873900293,16.558651026393,-1457,-2.13636363636364,1.3573432268573,160.980906705276
