"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"宮崎県",1042000,133000,559000,351000,6502,1.49,16212,3592,16844,18573,275,20913,17361,0,3617,18.4,3002.5,257997,24700,43200,0.12763915547025,0.536468330134357,0.336852207293666,6.23992322456814,3.44721689059501,15.5585412667946,16.1650671785029,17.8243761996161,-1729,-1.65930902111324,0,208.340533379414
2022,"宮崎県",1052000,136000,565000,352000,7136,1.63,16111,3805,16962,18765,419,33483,31267,0,3609,18.2,2865,271613,24600,43100,0.129277566539924,0.537072243346008,0.334600760456274,6.78326996197719,3.61692015209125,15.31463878327,16.1235741444867,17.8374524714829,-1803,-1.7138783269962,0,115.425208686475
2021,"宮崎県",1061000,138000,571000,351000,7590,1.64,14520,3885,17092,18538,420,33449,30732,1,3174,18.2,3126,253236,24600,43300,0.130065975494816,0.538171536286522,0.330819981149859,7.15362865221489,3.66163996229972,13.6852026390198,16.1093308199811,17.4721960414703,-1446,-1.36286522148916,0.0325393726408955,103.279968762202
2020,"宮崎県",1069576,139773,568255,344543,7720,1.65,14140,4148,16858,19340,423,33050,31471,14,3507,18.3,2279.5,261710,24600,43400,0.130680755738723,0.531289969109255,0.322130451693007,7.21781341391355,3.87817228509241,13.2201919265204,15.7613858201755,18.0819315317472,-2482,-2.32054571157169,0.444853992564583,111.435925137428
2019,"宮崎県",1077000,143000,584000,346000,8043,1.73,13788,4633,16780,20220,425,33541,32164,43,3417,18.4,3045.5,263264,24600,43700,0.132776230269266,0.542246982358403,0.321262766945218,7.46796657381616,4.30176415970288,12.8022284122563,15.5803156917363,18.7743732590529,-3440,-3.19405756731662,1.33689839572193,106.236786469345
2018,"宮崎県",1084000,145000,594000,342000,8434,1.72,13981,4637,17220,20802,425,32555,31604,63,3671,17.8,3167.5,250452,24300,38700,0.133763837638376,0.547970479704797,0.31549815498155,7.78044280442804,4.27767527675277,12.8976014760148,15.8856088560886,19.190036900369,-3582,-3.30442804428044,1.99341855461334,116.156182761676
