"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"愛媛県",1291000,143000,707000,441000,6950,1.31,20265,4158,16080,20205,248,22442,17299,9,3266,17.8,1399.5,223423,34600,92900,0.110766847405112,0.547637490317583,0.341595662277304,5.38342370255616,3.22075910147173,15.6971340046476,12.4554608830364,15.6506584043377,-4125,-3.19519752130132,0.520261286779583,188.797040291346
2022,"愛媛県",1306000,147000,716000,443000,7572,1.39,19993,4477,16724,20121,311,27980,24227,25,3664,17.3,1030,245054,34700,93200,0.112557427258806,0.548238897396631,0.339203675344564,5.7978560490046,3.42802450229709,15.3085758039816,12.8055130168453,15.406584992343,-3397,-2.6010719754977,1.03190655054278,151.23622404755
2021,"愛媛県",1321000,151000,726000,444000,8011,1.4,18770,4571,17367,19889,313,27601,24543,33,3197,17.4,1545.5,243528,35100,93600,0.114307342922029,0.549583648750946,0.336109008327025,6.06434519303558,3.46025738077214,14.2089326267979,13.1468584405753,15.0560181680545,-2522,-1.90915972747918,1.34457890233468,130.261174265575
2020,"愛媛県",1334841,153764,711738,434279,8102,1.4,18036,4903,16749,19924,317,27320,24935,55,3191,17.3,1662,240210,35400,94500,0.115192745802684,0.533200583440275,0.325341370245595,6.06963675823563,3.67309664596757,13.5117216207773,12.5475618444444,14.9261222872237,-3175,-2.37856044277933,2.205734910768,127.972729095649
2019,"愛媛県",1346000,159000,739000,442000,8446,1.46,18281,5360,16811,21045,315,26843,24068,103,3147,17.4,1144.5,253697,35800,95000,0.118127786032689,0.549034175334324,0.328380386329866,6.27488855869242,3.98216939078752,13.5817236255572,12.4895988112927,15.6352154531946,-4234,-3.14561664190193,4.27954129965099,130.754528834968
2018,"愛媛県",1357000,162000,749000,441000,9330,1.55,18207,5421,17153,21216,319,27976,25188,49,3592,17.1,1796.5,264107,36100,95000,0.119380987472366,0.551952837140752,0.324981577008106,6.87546057479735,3.99484156226971,13.4170965364775,12.6403831982314,15.6344878408253,-4063,-2.99410464259396,1.94537081149754,142.607590916309
