"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"福島県",1767000,190000,990000,586000,9019,1.21,27514,5599,21554,28480,280,24790,22234,13,4050,15.2,990.5,307186,23700,46600,0.10752688172043,0.560271646859083,0.331635540464063,5.10413129598189,3.16864742501415,15.5710243350311,12.1980758347482,16.117713638936,-6926,-3.91963780418789,0.584690114239453,182.153458666907
2022,"福島県",1790000,197000,1007000,586000,9709,1.27,27394,6088,22123,28775,391,36178,33563,23,4766,13.9,1033,295278,23500,45900,0.110055865921788,0.562569832402235,0.327374301675978,5.42402234636871,3.40111731843575,15.3039106145251,12.359217877095,16.0754189944134,-6652,-3.71620111731844,0.685278431606233,142.001608914579
2021,"福島県",1812000,202000,1025000,585000,10649,1.36,25559,6346,23067,28738,389,34439,31872,62,4346,14,1202,292743,23400,45600,0.111479028697572,0.565673289183223,0.322847682119205,5.87693156732892,3.50220750551876,14.105408388521,12.7301324503311,15.8598233995585,-5671,-3.12969094922737,1.94528112449799,136.357931726908
2020,"福島県",1833152,206152,1020241,572825,11215,1.39,24515,6674,23250,29528,384,33797,31614,141,4624,14.1,1224.5,268003,23300,45700,0.112457668540307,0.556550138777363,0.312480907202458,6.11787784100827,3.64072373703872,13.3731409070279,12.6830726530042,16.107775023566,-6278,-3.42470237056174,4.4600493452268,146.264313278927
2019,"福島県",1852000,211000,1053000,582000,11552,1.47,25004,7510,23344,30269,375,32569,32198,274,4551,14,1462.5,275991,23700,45900,0.113930885529158,0.568574514038877,0.314254859611231,6.23758099352052,4.05507559395248,13.5010799136069,12.6047516198704,16.3439524838013,-6925,-3.73920086393089,8.5098453320082,141.344182868501
2018,"福島県",1869000,216000,1072000,576000,12495,1.53,24747,7685,23300,31141,356,31544,29860,371,4320,14.2,828,284659,23600,45600,0.115569823434992,0.573568753344034,0.308186195826645,6.68539325842697,4.11182450508293,13.2407704654896,12.4665596575709,16.6618512573569,-7841,-4.19529159978598,12.4246483590087,144.675150703282
