"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"長崎県",1267000,153000,679000,435000,7656,1.49,19723,4074,20012,26369,375,29022,25635,0,4577,18.3,2134.5,262243,25100,103300,0.120757695343331,0.535911602209945,0.343330702446725,6.04262036306235,3.21546961325967,15.5666929755328,15.7947908445146,20.8121546961326,-6357,-5.017363851618,0,178.544958065145
2022,"長崎県",1283000,158000,690000,435000,8364,1.57,19309,4410,20952,26125,490,38408,36376,0,4382,17.8,1742.5,271129,24800,100900,0.123148869836321,0.53780202650039,0.339049103663289,6.5190958690569,3.43725643024162,15.049883086516,16.3304754481684,20.3624318004677,-5173,-4.0319563522993,0,120.464042225643
2021,"長崎県",1297000,161000,700000,435000,8862,1.6,18248,4704,20531,26201,492,37101,35679,0,4443,18.1,2203.5,249995,24600,98900,0.124132613723978,0.539707016191211,0.335389360061681,6.83269082498072,3.62683114880493,14.0693909020817,15.8296067848882,20.201233616037,-5670,-4.3716268311488,0,124.527032708316
2020,"長崎県",1312317,164303,706077,430353,9182,1.61,17646,4900,20853,26853,489,39270,37811,0,4815,17.7,2709.5,253814,24500,97500,0.125200694649235,0.538038446503398,0.327933723330567,6.9967850755572,3.73385393925401,13.4464462473625,15.8902155500538,20.46228159812,-6000,-4.57206604806613,0,127.343894633837
2019,"長崎県",1327000,168000,725000,433000,9585,1.66,17612,5472,20919,27939,488,35636,35906,70,4605,17.9,1788,271229,24500,96200,0.126601356443105,0.546345139412208,0.32629992464205,7.22305953278071,4.12358703843255,13.2720422004521,15.7641296156745,21.0542577241899,-7020,-5.29012810851545,1.94953489667465,128.251545702668
2018,"長崎県",1341000,171000,741000,429000,10135,1.68,17714,5394,22075,28386,484,37364,36824,157,4426,17.7,1821,271496,24100,93300,0.12751677852349,0.552572706935123,0.319910514541387,7.55779269202088,4.02237136465324,13.2095451155854,16.4615958240119,21.1677852348993,-6311,-4.7061894108874,4.26352378883337,120.193352161634
