"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"福岡県",5103000,644000,3007000,1452000,33942,1.26,62153,20549,97425,88783,988,106591,97762,56,15677,18.5,1768,309000,65800,412100,0.126200274348422,0.589261218890848,0.284538506760729,6.65138154027043,4.02684695277288,12.1796982167353,19.0917107583774,17.3981971389379,8642,1.69351361943955,0.572819704997852,160.358830629488
2022,"福岡県",5116000,654000,3013000,1449000,35970,1.33,61302,21840,98913,90027,1065,121855,116208,100,17852,18,1232.5,286265,60100,378900,0.1278342455043,0.58893666927287,0.28322908522283,7.03088350273651,4.26896012509773,11.9824081313526,19.334050039093,17.597146207975,8886,1.73690383111806,0.860525953462756,153.621093212171
2021,"福岡県",5124000,661000,3017000,1445000,37540,1.37,56410,22009,96936,89245,1054,118659,117582,625,16804,18.2,1979,285494,56800,356700,0.129000780640125,0.58879781420765,0.282006245120999,7.32630757220921,4.29527712724434,11.0089773614364,18.9180327868852,17.4170569867291,7691,1.50097580015613,5.31543943800922,142.913030906091
2020,"福岡県",5135214,662179,2911353,1395142,38966,1.41,53273,22745,97198,89390,1044,119238,115989,1189,16917,17.9,2212.5,317047,54300,335600,0.128948666988367,0.566938982484469,0.271681374914463,7.58799925377988,4.42922145016741,10.3740564658065,18.9277408886952,17.4072589769384,7808,1.52048191175674,10.2509720749381,145.850037503556
2019,"福岡県",5134000,670000,3008000,1425000,39754,1.44,54099,25777,99877,93553,1021,115499,113969,1232,17539,17.9,1608.5,299637,52100,309000,0.130502532138683,0.585897935333074,0.277561355668095,7.74328009349435,5.02084144916245,10.5373977405532,19.4540319439034,18.2222438644332,6324,1.2317880794702,10.8099570935956,153.892725214751
2018,"福岡県",5131000,674000,3026000,1408000,42008,1.49,53309,25265,99753,93510,1009,115506,111415,995,16647,17.7,1617,322618,49500,271100,0.131358409666732,0.589748587020074,0.274410446306763,8.18709803157279,4.92399142467355,10.3895926719938,19.4412395244592,18.2245176378873,6243,1.21672188657182,8.93057487770946,149.414351747969
