"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"愛知県",7477000,927000,4627000,1923000,48402,1.29,80557,31759,104565,107208,1343,169679,136328,52,19254,17.5,1504.5,300221,112300,480600,0.123980205964959,0.618831081984753,0.257188712050288,6.47345191921894,4.2475591814899,10.773973518791,13.9848869867594,14.3383710044135,-2643,-0.353484017654139,0.381433014494455,141.232908866851
2022,"愛知県",7495000,948000,4628000,1920000,51152,1.35,81183,33434,103743,108916,1582,191331,156689,53,20646,16.9,1578,319344,108300,458200,0.126484322881921,0.617478318879253,0.256170780520347,6.82481654436291,4.46084056037358,10.8316210807205,13.8416277518346,14.5318212141428,-5173,-0.690193462308205,0.33824965377276,131.764195316838
2021,"愛知県",7517000,966000,4633000,1918000,53918,1.41,73769,33509,103901,106496,1558,183099,148009,174,16597,16.8,1998.5,263912,105300,441800,0.128508713582546,0.616336304376746,0.255154982040708,7.17280830118398,4.45776240521485,9.81362245576693,13.8221364906213,14.1673539976054,-2595,-0.345217506984169,1.17560418623192,112.13507286719
2020,"愛知県",7542415,973642,4502713,1864603,55613,1.44,70518,35390,105208,107475,1533,189374,157939,155,18399,17,1711,282283,104300,423900,0.129088892615959,0.596985580878273,0.247215646447457,7.37336781388985,4.69213110124542,9.34952531781929,13.9488479485682,14.2494148094476,-2267,-0.30056686087944,0.981391549902177,116.494342752582
2019,"愛知県",7557000,991000,4669000,1892000,57145,1.45,69932,39933,110970,110001,1479,179582,156863,258,18393,17,1555.5,287547,103500,470500,0.131136694455472,0.617837766309382,0.250363901018923,7.56186317321689,5.28423977768956,9.25393674738653,14.6843985708615,14.5561730845574,969,0.128225486304089,1.64474732728559,117.255184460325
2018,"愛知県",7541000,1002000,4659000,1875000,61230,1.54,68833,39117,111067,108908,1438,181705,154752,238,17385,16.9,1695.5,286146,101500,430700,0.132873624187774,0.617822569950935,0.248640763824426,8.11961278345047,5.18724307121071,9.1278345047076,14.7284179817,14.4421164301817,2159,0.286301551518366,1.53794458229942,112.341035980149
