"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"福井県",744000,89000,421000,235000,4563,1.46,10426,2620,8135,10742,139,13001,10031,0,1451,16.2,2498,276690,29400,55800,0.119623655913978,0.565860215053763,0.315860215053763,6.13306451612903,3.52150537634409,14.0134408602151,10.9341397849462,14.4381720430108,-2607,-3.50403225806452,0,144.651580101685
2022,"福井県",753000,92000,426000,235000,4861,1.5,10519,2815,8439,10970,289,29065,24337,0,1624,15.4,2467,274299,29400,55500,0.122177954847278,0.565737051792829,0.312084993359894,6.45551128818061,3.73837981407703,13.9694555112882,11.207171314741,14.5683930942895,-2531,-3.36122177954847,0,66.7296708715125
2021,"福井県",760000,94000,431000,236000,5223,1.57,9721,2821,8819,10915,284,28472,24998,0,1672,15.4,2858,252152,29600,55600,0.123684210526316,0.567105263157895,0.310526315789474,6.87236842105263,3.71184210526316,12.7907894736842,11.6039473684211,14.3618421052632,-2096,-2.75789473684211,0,66.8853508280663
2020,"福井県",766863,95544,427984,232684,5313,1.56,9286,3029,8492,10800,284,27969,25632,0,1887,15.6,2531.5,253715,29700,55900,0.124590702641802,0.558097078617693,0.303423166849881,6.92822577174802,3.9498580580886,12.1090729374086,11.0736859126076,14.0833499595104,-2308,-3.00966404690277,0,73.6189138576779
2019,"福井県",771000,97000,436000,235000,5307,1.56,9593,3320,8384,11216,280,27936,25400,10,1998,15.6,1851.5,286636,30100,54200,0.125810635538262,0.565499351491569,0.304798962386511,6.88326848249027,4.30609597924773,12.4422827496757,10.8741893644617,14.5473411154345,-2832,-3.67315175097276,0.393700787401575,78.6614173228347
2018,"福井県",777000,99000,441000,234000,5826,1.67,9221,3274,8608,10767,279,27977,25588,18,2093,15.3,2632,283352,30300,54500,0.127413127413127,0.567567567567568,0.301158301158301,7.4980694980695,4.21364221364221,11.8674388674389,11.0785070785071,13.8571428571429,-2159,-2.77863577863578,0.703454744411443,81.7961544473972
