"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"東京都",14086000,1513000,9368000,3205000,86348,0.99,137241,71774,406749,348260,3611,322135,273390,286,58595,17.6,1396.5,341320,404400,2228300,0.107411614368877,0.665057503904586,0.227530881726537,6.13005821382933,5.09541388612807,9.74307823370723,28.8761181314781,24.7238392730371,58489,4.152278858441,1.04612458392772,214.327517465891
2022,"東京都",14038000,1535000,9301000,3202000,91097,1.04,139264,75179,399269,365360,3615,322379,275851,300,57945,16.4,1615.5,321633,389100,2139500,0.109346060692406,0.662558769055421,0.228095170252173,6.48931471719618,5.35539250605499,9.92050149593959,28.4420145319846,26.0264995013535,33909,2.41551503063114,1.08754363768846,210.059053619526
2021,"東京都",14010000,1553000,9255000,3202000,95404,1.08,127649,69813,388297,377482,3523,319476,290125,969,55126,16.6,2052.5,322785,380900,2113500,0.110849393290507,0.660599571734475,0.228551034975018,6.80970735189151,4.9830835117773,9.11127765881513,27.7157030692363,26.9437544610992,10815,0.771948608137045,3.33993968117191,190.007755277897
2020,"東京都",14047594,1566840,8944193,3107822,99661,1.12,121219,73931,401168,362794,3370,306055,287079,2343,55075,16.5,1590,325010,378100,2145600,0.111537961589721,0.636706399686665,0.221235180914255,7.09452451430473,5.26289412977055,8.62916453878152,28.5577729538596,25.8260596084995,38374,2.73171334536007,8.16151651635961,191.84614687943
2019,"東京都",14007000,1553000,9158000,3209000,101818,1.15,120870,86059,427307,340732,3114,308527,279024,3690,53881,16.5,1874,332517,374300,2157900,0.110873134861141,0.653815949168273,0.229099735846363,7.26907974584136,6.143999428857,8.62925680017134,30.5066752338117,24.3258370814593,86575,6.1808381523524,13.2246688456907,193.105252594759
2018,"東京都",13887000,1550000,9084000,3189000,107150,1.2,119253,82716,423617,340843,2856,273598,250244,5414,47491,16.8,1445.5,326229,354600,1961400,0.111615179664434,0.654136962626917,0.229639230935407,7.71584935551235,5.95636206524087,8.58738388420825,30.5045726218766,24.5440339886225,82774,5.96053863325412,21.6348843528716,189.778775914707
