"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"山形県",1026000,109000,556000,361000,5151,1.22,16975,2971,11436,15626,221,19908,16020,0,3165,13.7,1176.5,322992,20000,40800,0.106237816764133,0.541910331384016,0.351851851851852,5.02046783625731,2.89571150097466,16.5448343079922,11.1461988304094,15.2300194931774,-4190,-4.08382066276803,0,197.565543071161
2022,"山形県",1041000,113000,566000,362000,5674,1.32,16883,3184,11780,15540,302,27425,24018,0,3224,12.6,1177.5,276567,19900,40500,0.108549471661864,0.543707973102786,0.347742555235351,5.45052833813641,3.05859750240154,16.2180595581172,11.3160422670509,14.9279538904899,-3760,-3.611911623439,0,134.232658839204
2021,"山形県",1055000,117000,576000,362000,5898,1.32,15753,3386,12023,15134,299,26971,23969,0,3186,12.7,1037.5,321411,19800,40400,0.110900473933649,0.545971563981043,0.343127962085308,5.59052132701422,3.20947867298578,14.9317535545024,11.3962085308057,14.3450236966825,-3111,-2.94881516587678,0,132.921690516918
2020,"山形県",1068027,120086,578819,359554,6217,1.37,15348,3530,11944,15171,293,27124,24954,0,3467,13,1284.5,293536,19700,40700,0.112437232392065,0.541951654780263,0.336652537810374,5.82101388822567,3.30515988827998,14.3704232196377,11.1832378769451,14.204697072265,-3227,-3.02145919531997,0,138.935641580508
2019,"山形県",1080000,123000,594000,360000,6401,1.4,15719,4014,12196,16739,288,26343,25425,45,4067,12.8,1261.5,306269,19600,40800,0.113888888888889,0.55,0.333333333333333,5.92685185185185,3.71666666666667,14.5546296296296,11.2925925925926,15.4990740740741,-4543,-4.20648148148148,1.76991150442478,159.960668633235
2018,"山形県",1092000,127000,605000,358000,6973,1.48,15320,4039,12455,16337,286,25864,24974,46,3343,12.6,1124,305472,19500,40400,0.116300366300366,0.554029304029304,0.327838827838828,6.38553113553114,3.69871794871795,14.029304029304,11.4056776556777,14.9606227106227,-3882,-3.55494505494505,1.8419155922159,133.859213582125
