"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"鹿児島県",1549000,197000,828000,524000,9868,1.48,24217,5111,24547,27761,345,25248,22029,61,3800,19.5,2510,279132,27600,81000,0.127178825048418,0.534538411878631,0.33828276307295,6.37056165267915,3.29954809554551,15.6339573918657,15.8469980632666,17.921885087153,-3214,-2.07488702388638,2.76907712560715,172.499886513233
2022,"鹿児島県",1563000,201000,838000,523000,10540,1.54,23925,5619,24483,26987,584,41299,38795,148,4313,19.3,2416,279101,27400,80900,0.128598848368522,0.5361484325016,0.334612923864363,6.74344209852847,3.59500959692898,15.3071017274472,15.6641074856046,17.2661548304543,-2504,-1.60204734484965,3.81492460368604,111.174120376337
2021,"鹿児島県",1576000,205000,850000,521000,11618,1.65,21979,5835,24892,26430,582,41364,40357,114,3861,19.3,2782,299164,27300,80900,0.13007614213198,0.539340101522843,0.330583756345178,7.37182741116751,3.70241116751269,13.9460659898477,15.7944162436548,16.7703045685279,-1538,-0.975888324873097,2.8247887603142,95.6711351190624
2020,"鹿児島県",1588256,205381,832194,505891,11638,1.61,21501,6131,24748,28024,579,41396,41481,322,4359,19.2,2977.5,266228,27300,81400,0.129312277114017,0.523967169020611,0.318519810408398,7.32753410029617,3.86020893357242,13.5374901779058,15.5818709326456,17.6445107086011,-3276,-2.06263977595551,7.76259010149225,105.084255442251
2019,"鹿児島県",1602000,213000,878000,512000,11977,1.63,21834,6865,25026,30194,568,41923,42273,349,4495,19.4,2470,285921,27300,81600,0.132958801498127,0.548064918851436,0.31960049937578,7.47627965043695,4.2852684144819,13.6292134831461,15.6217228464419,18.8476903870162,-5168,-3.22596754057428,8.25586071487711,106.332647316254
2018,"鹿児島県",1614000,215000,893000,506000,12956,1.7,22106,6839,25112,29716,561,40961,43469,244,4823,19,2397,263272,27200,80600,0.133209417596035,0.553283767038414,0.313506815365551,8.0272614622057,4.23729863692689,13.6964064436183,15.5588599752169,18.4114002478315,-4604,-2.85254027261462,5.61319561066507,110.95263291081
