"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"高知県",666000,70000,355000,242000,3380,1.3,11438,1985,8278,10309,223,24629,16395,6,3094,17.9,2783,294877,30500,69100,0.105105105105105,0.533033033033033,0.363363363363363,5.07507507507508,2.98048048048048,17.1741741741742,12.4294294294294,15.478978978979,-2031,-3.04954954954955,0.365965233302836,188.716071973163
2022,"高知県",676000,72000,360000,244000,3721,1.36,11472,2189,8746,10228,245,25867,18419,4,2989,17.7,2025.5,284828,30500,69200,0.106508875739645,0.532544378698225,0.36094674556213,5.50443786982248,3.23816568047337,16.9704142011834,12.9378698224852,15.1301775147929,-1482,-2.19230769230769,0.217167055757642,162.278082414898
2021,"高知県",684000,74000,365000,245000,4090,1.45,10423,2332,8830,10246,248,25654,18394,12,2832,17.6,3121,280789,30600,69800,0.108187134502924,0.533625730994152,0.358187134502924,5.97953216374269,3.4093567251462,15.2383040935673,12.9093567251462,14.9795321637427,-1416,-2.07017543859649,0.652386647819941,153.963248885506
2020,"高知県",691527,74946,362200,241787,4082,1.43,9998,2440,8366,10363,250,26250,19545,28,3242,17.8,3238.5,270206,30800,70600,0.108377547080591,0.523768413959252,0.349642168707802,5.90287870177159,3.52842332981937,14.4578592014484,12.0978645808479,14.9856766257861,-1997,-2.88781204493823,1.43259145561525,165.873624968023
2019,"高知県",699000,77000,375000,246000,4270,1.47,10317,2630,8513,11096,255,26201,20511,35,3199,17.8,2538.5,302399,30700,71400,0.110157367668097,0.536480686695279,0.351931330472103,6.10872675250358,3.76251788268956,14.7596566523605,12.1788268955651,15.8741058655222,-2583,-3.69527896995708,1.70640144312808,155.965091901906
2018,"高知県",707000,79000,382000,245000,4559,1.48,10251,2659,8770,11098,259,26177,19866,51,3096,17.4,3092.5,309015,30800,71600,0.111739745403112,0.54031117397454,0.346534653465347,6.44837340876945,3.76096181046676,14.4992927864215,12.4045261669024,15.6973125884017,-2328,-3.29278642149929,2.56720024161885,155.844155844156
