"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"三重県",1727000,198000,999000,529000,9524,1.29,23744,6039,23783,29504,347,39285,27963,103,4541,17.4,1346,332663,28100,62600,0.114649681528662,0.578459756803706,0.306311522872032,5.51476548928778,3.4968152866242,13.7486971627099,13.7712796757383,17.0839606253619,-5721,-3.31268094962362,3.68343882988234,162.393162393162
2022,"三重県",1742000,204000,1008000,531000,10489,1.4,23341,6443,25059,28934,426,45725,38489,64,4863,16.9,1408,277102,28100,62200,0.117106773823192,0.578645235361653,0.304822043628014,6.02123995407578,3.69862227324914,13.3989667049369,14.3851894374282,16.609644087256,-3875,-2.22445464982778,1.66281275169529,126.347787679597
2021,"三重県",1756000,209000,1016000,531000,10980,1.43,21639,6474,25040,28520,426,46264,41891,50,5237,16.9,1839.5,295770,28200,62300,0.119020501138952,0.578587699316629,0.302391799544419,6.25284738041002,3.68678815489749,12.3228929384966,14.2596810933941,16.2414578587699,-3480,-1.98177676537585,1.19357379866797,125.014919672483
2020,"三重県",1770254,211090,997052,522073,11141,1.42,20716,6855,25108,29419,429,45963,39969,81,5069,17.1,1787,285114,28500,63000,0.119242775330546,0.563225390254732,0.294914176157772,6.29344715504103,3.87232566626032,11.7022754926694,14.1832753943784,16.6185191503592,-4311,-2.43524375598078,2.02657059220896,126.823288048237
2019,"三重県",1783000,218000,1034000,530000,11690,1.47,20811,7743,25345,31596,432,45885,39806,109,4831,16.9,1630,311319,28800,63400,0.122265844083006,0.579921480650589,0.297251822770611,6.55636567582726,4.34268087492989,11.6719012899607,14.214806505889,17.7206954570948,-6251,-3.50588895120583,2.73828066120685,121.363613525599
2018,"三重県",1793000,222000,1042000,527000,12582,1.54,20900,7446,26419,30644,427,44329,39319,80,5044,16.9,1720,283443,29100,63500,0.123814835471277,0.581148912437256,0.293920803123257,7.01728945900725,4.15281650864473,11.6564417177914,14.7345231455661,17.0909090909091,-4225,-2.356385945343,2.03463974160075,128.284035707927
