"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"青森県",1184000,118000,649000,417000,5696,1.23,20835,3326,15226,20792,230,15881,12482,0,2358,12.6,1316,263371,16100,33400,0.0996621621621622,0.548141891891892,0.352195945945946,4.81081081081081,2.80912162162162,17.5971283783784,12.8597972972973,17.5608108108108,-5566,-4.70101351351351,0,188.912033327992
2022,"青森県",1204000,123000,663000,419000,5985,1.24,20117,3656,16247,20624,472,34055,29676,0,2685,11.3,1721.5,249660,15900,33400,0.102159468438538,0.550664451827243,0.348006644518272,4.97093023255814,3.03654485049834,16.7084717607973,13.4941860465116,17.1295681063123,-4377,-3.63538205980066,0,90.4771532551557
2021,"青森県",1221000,127000,676000,419000,6513,1.31,18785,3736,16169,20396,472,34007,30738,0,2466,11.5,1382.5,245117,15900,33600,0.104013104013104,0.553644553644554,0.343161343161343,5.33415233415233,3.05978705978706,15.3849303849304,13.2424242424242,16.7043407043407,-4227,-3.46191646191646,0,80.2264298262737
2020,"青森県",1237984,129112,676167,412943,6837,1.33,17905,4032,16413,21145,475,34236,30723,0,2594,11.6,1417,251881,16100,33700,0.104292139478378,0.546183957143226,0.33356085377517,5.52268850001292,3.25690800527309,14.4630302168687,13.2578450125365,17.0801884353917,-4732,-3.82234342285522,0,84.4318588679491
2019,"青森県",1253000,133000,699000,415000,7170,1.38,18424,4601,16527,22874,480,35388,33675,0,3114,11.4,1093,243609,16200,33700,0.106145251396648,0.557861133280128,0.331205107741421,5.72226656025539,3.67198723064645,14.7039106145251,13.1899441340782,18.2553870710295,-6347,-5.06544293695132,0,92.4721603563474
2018,"青森県",1268000,137000,714000,412000,7803,1.43,17936,4737,16744,23196,479,35300,33169,0,3033,11,1553,251459,16300,33600,0.108044164037855,0.563091482649842,0.324921135646688,6.15378548895899,3.73580441640379,14.1451104100946,13.205047318612,18.2933753943218,-6452,-5.08832807570978,0,91.4408031595767
