"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"大阪府",8763000,984000,5355000,2424000,55292,1.19,104964,38513,159522,146451,970,103426,85829,147,14765,18,1343.5,271246,155200,1074400,0.112290311537145,0.611092091749401,0.276617596713454,6.30971128608924,4.39495606527445,11.9780896953098,18.2040397124272,16.7124272509415,13071,1.49161246148579,1.71270782602617,172.028102389635
2022,"大阪府",8782000,1002000,5349000,2432000,57315,1.22,106277,40362,156398,148994,1595,181591,163302,134,16939,17.5,1058,265161,152200,1013600,0.114097016624915,0.609086768389888,0.276930084263266,6.52641767251196,4.59599180141198,12.1016852653154,17.8089273514006,16.9658392165794,7404,0.843088134821225,0.82056557788637,103.728062118039
2021,"大阪府",8806000,1018000,5346000,2442000,59780,1.27,97282,39005,154207,148324,1573,186248,172365,158,15926,17.5,2014.5,249980,150900,1006900,0.115602997955939,0.607086077674313,0.277310924369748,6.7885532591415,4.42936634113105,11.0472405178288,17.511583011583,16.8435157846923,5883,0.668067226890756,0.916659414614336,92.3969483363792
2020,"大阪府",8837685,1029499,5199504,2361723,61878,1.31,91644,40989,159317,145935,1570,176332,163745,348,15092,17.7,1521.5,246247,150700,1060400,0.116489668957425,0.588333256955866,0.267233217748766,7.00160732137432,4.63797928982533,10.3696839160934,18.0270059410355,16.5128085013213,13382,1.51419743971413,2.12525573299948,92.1676997770924
2019,"大阪府",8842000,1043000,5333000,2434000,62557,1.31,90410,46395,160815,150122,1531,169448,160537,589,16135,17.6,1219,270408,150500,1026500,0.117959737615924,0.603144085048631,0.275277086631984,7.07498303551233,5.24711603709568,10.2250622031215,18.1876272336575,16.9782854557792,10693,1.20934177787831,3.66893613310327,100.506425310053
2018,"大阪府",8838000,1056000,5336000,2420000,65446,1.35,89494,44365,156125,150928,1481,163613,160190,677,16238,17.4,1651.5,268768,149200,844800,0.119484046164291,0.603756505996832,0.273817605793166,7.4050690201403,5.01980085992306,10.1260466168816,17.6651957456438,17.0771667798144,5197,0.588028965829373,4.22623135027155,101.367126537237
