"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"岐阜県",1931000,224000,1104000,603000,10469,1.31,26089,6076,24559,29781,321,36424,26799,0,4033,17.4,1986.5,320779,31900,86900,0.116002071465562,0.571724495080269,0.312273433454169,5.4215432418436,3.14655618850337,13.5106162610047,12.7182806835836,15.4225789746245,-5222,-2.70429829104091,0,150.490689951118
2022,"岐阜県",1946000,231000,1111000,604000,11124,1.36,26175,6525,25126,29787,415,48095,36543,0,4451,16.7,1978.5,313314,32000,86000,0.118705035971223,0.570914696813977,0.3103802672148,5.71634121274409,3.3530318602261,13.450668036999,12.9116135662898,15.3067831449126,-4661,-2.39516957862282,0,121.801713050379
2021,"岐阜県",1961000,237000,1120000,605000,11730,1.4,24126,6589,24769,29931,415,47808,38709,0,4016,16.8,2249.5,306115,32200,86500,0.120856705762366,0.57113717491076,0.308516063233044,5.98164201937787,3.36002039775625,12.3029066802652,12.6308006119327,15.2631310555839,-5162,-2.6323304436512,0,103.748482265106
2020,"岐阜県",1978742,240520,1105215,593751,12092,1.42,22720,7003,24615,30312,418,46892,37467,0,4393,17,2088.5,304271,32600,88200,0.121551975952398,0.558544267014093,0.300064889712757,6.11095332286877,3.539117277543,11.4820426311262,12.4397218030446,15.3188237779357,-5697,-2.87910197489112,0,117.249846531614
2019,"岐阜県",1992000,248000,1140000,599000,12776,1.45,23417,8227,25093,31326,417,46522,36665,2,4196,17,1798,287263,33200,88400,0.124497991967871,0.572289156626506,0.30070281124498,6.4136546184739,4.13002008032128,11.7555220883534,12.5968875502008,15.7259036144578,-6233,-3.12901606425703,0.0545479339969999,114.441565525706
2018,"岐阜県",2001000,253000,1148000,595000,13720,1.52,23062,7912,25427,30801,418,46671,38857,0,4448,16.9,2087,322163,33400,88400,0.126436781609195,0.573713143428286,0.297351324337831,6.85657171414293,3.95402298850575,11.5252373813093,12.7071464267866,15.3928035982009,-5374,-2.68565717141429,0,114.471009084592
