"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"新潟県",2126000,228000,1179000,720000,10916,1.23,33185,6262,20023,26184,506,48683,36224,0,6836,15.4,1866,301215,25800,76200,0.107243650047037,0.554562558795861,0.338664158043274,5.13452492944497,2.94543744120414,15.6091251175917,9.41815616180621,12.3160865475071,-6161,-2.89793038570085,0,188.714664310954
2022,"新潟県",2153000,235000,1195000,722000,11732,1.27,32313,6823,20558,26522,714,72018,59330,0,7046,14.5,2002,295332,25800,75600,0.109150023223409,0.555039479795634,0.335346028797027,5.44914073385973,3.1690664189503,15.0083604273107,9.54853692522062,12.3186251741756,-5964,-2.77008824895495,0,118.759480869712
2021,"新潟県",2177000,242000,1213000,723000,12608,1.32,30990,7088,20603,26389,720,70136,57964,0,5991,14.5,1952,313678,25800,75400,0.111162149747359,0.55718879191548,0.33210840606339,5.79145613229215,3.25585668350942,14.2351860358291,9.46394120349104,12.1217271474506,-5786,-2.65778594395958,0,103.357256228004
2020,"新潟県",2201272,247480,1210917,715935,12981,1.33,29455,7570,20451,26558,721,73818,62210,3,6939,14.7,2077.5,273946,26000,75700,0.112425906475892,0.550098761079957,0.32523695390665,5.89704498126538,3.43892076944603,13.380899770678,9.29053747106219,12.0648425092401,-6107,-2.77430503817793,0.0482237582382254,111.541552805015
2019,"新潟県",2224000,254000,1249000,720000,13640,1.38,30572,8742,20178,28340,723,70781,62874,2,7125,14.6,1352,294196,25900,75100,0.114208633093525,0.56160071942446,0.323741007194245,6.13309352517986,3.93075539568345,13.7464028776978,9.0728417266187,12.7428057553957,-8162,-3.66996402877698,0.031809651048128,113.321881858956
2018,"新潟県",2246000,260000,1270000,716000,14509,1.41,30068,8612,20644,28188,722,68109,60042,1,7455,14.3,1795.5,291158,25900,74900,0.115761353517364,0.565449688334817,0.318788958147818,6.45992876224399,3.83437221727516,13.3873552983081,9.19145146927872,12.5503116651825,-7544,-3.35886019590383,0.016655008160954,124.163085839912
