"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"千葉県",6257000,703000,3798000,1756000,35658,1.14,73002,23251,140104,123729,1217,108662,89333,140,15378,18.1,1268.5,306943,83200,284900,0.112354163337062,0.607000159821,0.280645676841937,5.69889723509669,3.71599808214799,11.6672526770018,22.3915614511747,19.7744925683235,16375,2.61706888285121,1.56717002675383,172.142433367289
2022,"千葉県",6266000,717000,3796000,1753000,36966,1.18,72258,24824,144533,125793,1329,119857,102287,250,15259,16.7,1427.5,304582,79300,266200,0.114427066709224,0.605809128630705,0.27976380466007,5.89945738908395,3.96169805298436,11.5317586977338,23.0662304500479,20.07548675391,18740,2.99074369613789,2.44410335624273,149.178292451631
2021,"千葉県",6275000,727000,3800000,1748000,38426,1.21,65244,24234,143204,124979,1288,116903,108253,428,15738,17.1,1834.5,311484,76500,258600,0.115856573705179,0.605577689243028,0.278565737051793,6.12366533864542,3.86199203187251,10.3974501992032,22.8213545816733,19.9169721115538,18225,2.90438247011952,3.95370105216484,145.381652240585
2020,"千葉県",6284480,734496,3715691,1699991,40168,1.27,62118,24996,143177,126407,1235,111235,100009,833,15850,17,1791.5,303193,75600,252900,0.116874586282397,0.591248758847192,0.270506231223586,6.39161871785732,3.97741738377718,9.88435001782168,22.782632771526,20.1141542339223,16770,2.66847853760375,8.32925036746693,158.485736283734
2019,"千葉県",6283000,739000,3777000,1743000,40799,1.28,62004,28649,146240,129053,1167,106425,97620,1020,15510,16.8,1697,306737,74600,246000,0.117618971828744,0.601145949387235,0.277415247493236,6.4935540346968,4.55976444373707,9.86853413974216,23.2755053318478,20.5400286487347,17187,2.73547668311316,10.4486785494776,158.881376767056
2018,"千葉県",6273000,748000,3785000,1721000,43404,1.34,59561,28202,146078,129154,1101,104364,102807,1392,14674,17.2,1261,320447,73500,227400,0.119241192411924,0.603379563207397,0.274350390562729,6.91917742706839,4.49577554599075,9.49481906583772,23.2867846325522,20.588872947553,16924,2.6979116849992,13.5399340511833,142.733471456224
