"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"栃木県",1897000,210000,1114000,573000,9958,1.19,25049,6594,29890,32447,312,33292,27628,0,5320,16,1536.5,325226,33900,67700,0.11070110701107,0.587243015287296,0.302055877701634,5.24934106483922,3.4760147601476,13.2045334739062,15.7564575645756,17.1043753294676,-2557,-1.34791776489193,0,192.558274214565
2022,"栃木県",1909000,217000,1121000,572000,10518,1.24,24992,7154,31159,32780,439,45017,39031,14,5380,14.9,1303.5,297278,33800,67500,0.113672079622839,0.587218438973284,0.299633315872184,5.5096909376637,3.74751178627554,13.0916710319539,16.3221581980094,17.1712938711367,-1621,-0.849135673127292,0.358689247008788,137.839153493377
2021,"栃木県",1921000,223000,1130000,569000,11475,1.31,22712,7127,30533,31249,438,44796,40943,0,5497,14.9,1740,281101,32300,65700,0.116085372201978,0.588235294117647,0.296199895887559,5.97345132743363,3.71004685059865,11.8230088495575,15.8943258719417,16.2670484122853,-716,-0.372722540343571,0,134.259824634248
2020,"栃木県",1933146,227553,1115611,554381,11808,1.32,21702,7396,30080,31838,436,44731,40394,34,5488,15,1353.5,279214,32400,65900,0.117711233398822,0.577096091035028,0.28677658076524,6.10817806828869,3.8258879567296,11.2262601996952,15.5601284124427,16.4695268748455,-1758,-0.909398462402736,0.841709164727435,135.861761647769
2019,"栃木県",1943000,235000,1146000,554000,12608,1.39,22138,8572,30136,33654,434,41140,38509,52,5079,14.9,1867.5,297811,32600,66400,0.120946989191971,0.589809572825527,0.285126093669583,6.48893463715903,4.41173443129182,11.3937210499228,15.5100360267627,17.3206381883685,-3518,-1.81060216160576,1.35033368822873,131.891246202186
2018,"栃木県",1953000,240000,1160000,546000,13495,1.44,21885,8182,30241,33138,420,41695,39345,41,5054,15.2,1257,306440,32700,66300,0.122887864823349,0.593958013312852,0.279569892473118,6.90988223246288,4.189452124936,11.2058371735791,15.484383000512,16.9677419354839,-2897,-1.48335893497184,1.04206379463718,128.453424831618
