"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"茨城県",2825000,312000,1647000,865000,14898,1.22,37603,9338,46596,47776,461,46720,40139,5,6663,16.1,1507.5,307817,33700,69200,0.110442477876106,0.583008849557522,0.306194690265487,5.27362831858407,3.30548672566372,13.310796460177,16.4941592920354,16.9118584070796,-1180,-0.417699115044248,0.12456712922594,165.998156406487
2022,"茨城県",2840000,321000,1655000,864000,15905,1.27,37256,10163,47981,46817,629,64187,56911,8,6817,14.8,1202.5,298053,32700,66300,0.113028169014085,0.582746478873239,0.304225352112676,5.60035211267606,3.57852112676056,13.1183098591549,16.8947183098592,16.4848591549296,1164,0.409859154929577,0.140570364252956,119.78352163905
2021,"茨城県",2852000,328000,1664000,860000,16502,1.3,33814,10021,47382,46501,627,61204,56249,13,6248,15,1661,275819,32400,65400,0.115007012622721,0.583450210378682,0.301542776998597,5.78611500701262,3.51367461430575,11.8562412342216,16.6136044880785,16.304698457223,881,0.30890603085554,0.23111521982613,111.077530267205
2020,"茨城県",2867009,333741,1638165,839907,17389,1.34,32931,10622,45720,47468,613,61249,57353,193,6146,15,1422,274520,32400,65100,0.116407377863132,0.571384673016374,0.292955829577096,6.06520593412856,3.70490640245636,11.4861864751733,15.9469328488331,16.5566274818112,-1748,-0.609694632978132,3.3651247537182,107.160915732394
2019,"茨城県",2879000,342000,1676000,843000,18004,1.39,33440,12270,44371,48876,606,62031,57940,345,6677,14.9,1391,286734,32500,65300,0.11879124696075,0.58214657867315,0.292810003473428,6.25356026398055,4.26189649183744,11.6151441472734,15.4119485932615,16.9767280305662,-4505,-1.56477943730462,5.95443562305834,115.239903348291
2018,"茨城県",2892000,349000,1696000,833000,19368,1.44,32927,12332,44850,49610,591,60330,57231,386,6454,15.3,1282.5,290619,32600,64400,0.120677731673582,0.586445366528354,0.288035961272476,6.69709543568465,4.26417704011065,11.3855463347165,15.5082987551867,17.1542185338866,-4760,-1.64591977869986,6.74459645996051,112.771050654366
