"year","prefecture","population","child_population","working_age_population","elderly_population","births","total_fertility_rate","deaths","marriages","migration_in","migration_out","nursery_facilities","nursery_capacity","nursery_children","waiting_children","childcare_workers","avg_temperature","annual_rainfall","household_consumption","residential_land_price","commercial_land_price","child_share","working_age_share","elderly_share","births_per_1000","marriages_per_1000","deaths_per_1000","migration_in_per_1000","migration_out_per_1000","net_migration","net_migration_per_1000","waiting_children_per_1000_nursery_children","childcare_workers_per_1000_nursery_children"
2023,"長野県",2004000,228000,1120000,655000,11125,1.34,28423,6600,26807,28391,504,57266,40994,9,6551,13.6,830,313991,25100,52500,0.11377245508982,0.558882235528942,0.32684630738523,5.55139720558882,3.29341317365269,14.1831337325349,13.376746506986,14.1671656686627,-1584,-0.790419161676647,0.219544323559545,159.80387373762
2022,"長野県",2020000,235000,1129000,657000,12143,1.43,28503,7288,27822,27962,562,61198,47111,9,6864,12.7,1022.5,298965,25000,52300,0.116336633663366,0.558910891089109,0.325247524752475,6.01138613861386,3.60792079207921,14.110396039604,13.7732673267327,13.8425742574257,-140,-0.0693069306930693,0.191038186410817,145.698456835983
2021,"長野県",2033000,240000,1136000,657000,12514,1.44,26001,7347,26859,27831,566,61092,47018,21,6176,12.9,1075,285963,25000,52600,0.118052139695032,0.558780127889818,0.32316773241515,6.15543531726513,3.61387112641417,12.7894736842105,13.2115100836203,13.6896212493851,-972,-0.47811116576488,0.44663745799481,131.353949551236
2020,"長野県",2048011,242873,1118429,646942,12864,1.46,25428,7701,26050,28131,568,62598,52058,46,6958,13.1,1030,270419,25000,53100,0.11858969507488,0.546104976975221,0.315887951773697,6.28121626299859,3.76023370968222,12.4159489377743,12.7196582440231,13.7357660676627,-2081,-1.01610782363962,0.88362979753352,133.658611548657
2019,"長野県",2061000,250000,1146000,653000,13553,1.57,26041,8809,24948,29275,568,61862,49131,80,6622,12.9,1006,315017,25200,53400,0.121300339640951,0.556040756914119,0.316836487142164,6.57593401261524,4.27413876758855,12.63512857836,12.1048034934498,14.2042697719554,-4327,-2.09946627850558,1.62829985141764,134.782520201095
2018,"長野県",2073000,255000,1158000,651000,14184,1.57,25422,8737,25475,29078,570,61244,50924,50,6514,13,886,288413,25200,53500,0.12301013024602,0.558610709117221,0.314037626628075,6.84225759768452,4.214664737096,12.2633863965268,12.2889532079112,14.0270139893874,-3603,-1.73806078147612,0.981855313800958,127.916110281989
